DUA;Item del DUA;Fecha DUA;Aduana;Regimen;Modalidad;Importador;Proveedor;Marca;Modelo;Factura;Código SAC;CodSA;DescripcionPartida;Modo transporte;País de Origen;Pais de Procedencia;Pais de Adquisición;Cantidad;Unidad de Medida;Volúmen Físico;Cantidad de bultos;Valor FOB US$;Valor FOB US$ por unidad;Costo flete US$;Costo seguro US$;Valor CIF US$;Valor CIF US$  unitario;Valor en Aduana US$;Peso neto Kg.;Peso bruto Kg.;Peso bruto en Lbs.;Descripción de Mercancía;ID Declarante;Declarante;ID Agente Aduanero;Agente aduanero;ID Localización;Localización;% IVA;Total IVA US$;% Ley 6946;Total Ley 6946 US$;% DAI;Total DAI US$;COSTO por PROCOMER US$;% S.C;Total SC US$;Otros impuestos US$;Total de Impuestos;Proporción Pr FOB / impuestos;Proporción VA / impuestos
005-2022-001495;0001;3/1/22;SANTAMARIA;IMPORTACION DEFINITIVA;ENTREGA RAPIDA;LIBERTY EXPRESS CORPORATE VC S.A.;No disponible;No disponible;No disponible;SN;950490000090;9504;Videoconsolas y máquinas de videojuego, artículos para juegos de sociedad, incluidos los juegos con motor o mecanismo, billares, mesas especiales para juegos de casino y juegos de bolos automáticos;AEREO;Estados Unidos;Estados Unidos;Estados Unidos;1;UNIDAD (C/U);1;1;$33,00;$33,00;$9,76;$0,40;$43,16;$43,16;$43,16;16,14;16,14;35,58;JUEGO DE MESA ETHERFIELDS, CRIATURAS, THORN KNIGHT QUINTO JUGADOR TITULARES  02502>030405;310160727126;LIBERTY EXPRESS CORPORATE VC S.A.;186200379312;ZAMBRANO VELAZCO KELVYN;P001;AERIS HOLDING COSTA RICA S.A.;13;$6,45;1;$0,43;14;$6,04;$3;0;$0,00;$0,11;$16,03;49%;37%
005-2022-001495;0002;3/1/22;SANTAMARIA;IMPORTACION DEFINITIVA;ENTREGA RAPIDA;LIBERTY EXPRESS CORPORATE VC S.A.;No disponible;No disponible;No disponible;SN;851660000099;8516;Calentadores eléctricos de agua;AEREO;Estados Unidos;Estados Unidos;Estados Unidos;1;UNIDAD (C/U);1;1;$545,69;$545,69;$9,76;$5,19;$560,64;$560,64;$560,64;36,10;36,10;79,59;HORNO DE VAPOR DE CONVECCIÓN MULTIFUNCIÓN CON CAPACIDAD DE UN CUARTO DE GALÓN, ACERO INOXI02IDABLE N;310160727126;LIBERTY EXPRESS CORPORATE VC S.A.;186200379312;ZAMBRANO VELAZCO KELVYN;P001;AERIS HOLDING COSTA RICA S.A.;13;$92,12;1;$5,61;14;$78,49;$0;10;$63,91;$0,00;$240,13;44%;43%
005-2022-001495;0003;3/1/22;SANTAMARIA;IMPORTACION DEFINITIVA;ENTREGA RAPIDA;LIBERTY EXPRESS CORPORATE VC S.A.;No disponible;No disponible;No disponible;SN;392690990090;3926;Las demás manufacturas de plástico ;AEREO;Estados Unidos;Estados Unidos;Estados Unidos;1;UNIDAD (C/U);1;1;$560,98;$560,98;$9,76;$5,34;$576,08;$576,08;$576,08;5,92;5,92;13,05;100 IDEXX QUANTI-TRAY / 2000 PAQUETES DE 10 A DIEZ;310160727126;LIBERTY EXPRESS CORPORATE VC S.A.;186200379312;ZAMBRANO VELAZCO KELVYN;P001;AERIS HOLDING COSTA RICA S.A.;13;$86,12;1;$5,76;14;$80,65;$0;0;$0,00;$0,00;$172,53;31%;30%
005-2022-001495;0004;3/1/22;SANTAMARIA;IMPORTACION DEFINITIVA;ENTREGA RAPIDA;LIBERTY EXPRESS CORPORATE VC S.A.;No disponible;No disponible;No disponible;SN;950629000000;9506;"Artículos y material para cultura física, gimnasia, atletismo, demás deportes o para juegos al aire libre, no expresados ni comprendidos en otra parte de este capítulo; piscinas, incluso infantiles";AEREO;Estados Unidos;Estados Unidos;Estados Unidos;1;UNIDAD (C/U);1;1;$345,00;$345,00;$9,76;$3,32;$358,08;$358,08;$358,08;0,90;0,90;1,98;TABLA INFLABLE PARA SURFING;310160727126;LIBERTY EXPRESS CORPORATE VC S.A.;186200379312;ZAMBRANO VELAZCO KELVYN;P001;AERIS HOLDING COSTA RICA S.A.;13;$51,21;1;$3,58;9;$32,23;$0;0;$0,00;$0,00;$87,02;25%;24%
005-2022-001495;0005;3/1/22;SANTAMARIA;IMPORTACION DEFINITIVA;ENTREGA RAPIDA;LIBERTY EXPRESS CORPORATE VC S.A.;No disponible;No disponible;No disponible;SN;392690990090;3926;Las demás manufacturas de plástico ;AEREO;Estados Unidos;Estados Unidos;Estados Unidos;1;UNIDAD (C/U);1;1;$53,49;$53,49;$9,76;$0,59;$63,84;$63,84;$63,84;0,32;0,32;0,71;ACCESORIO DE PLASTICO;310160727126;LIBERTY EXPRESS CORPORATE VC S.A.;186200379312;ZAMBRANO VELAZCO KELVYN;P001;AERIS HOLDING COSTA RICA S.A.;13;$9,54;1;$0,64;14;$8,94;$0;0;$0,00;$0,00;$19,12;36%;30%
005-2022-001495;0006;3/1/22;SANTAMARIA;IMPORTACION DEFINITIVA;ENTREGA RAPIDA;LIBERTY EXPRESS CORPORATE VC S.A.;No disponible;No disponible;No disponible;SN;950300900090;9503;"Triciclos, patinetes, coches de pedal y juguetes similares con ruedas; coches y sillas de ruedas para muñecas o muñecos; muñecas o muñecos; los demás juguetes; modelos reducidos y Modelos similares, para entretenimiento, incluso animados; Rompecabezas de cualquier clase  ";AEREO;Estados Unidos;Estados Unidos;Estados Unidos;1;UNIDAD (C/U);1;1;$120,00;$120,00;$9,76;$1,21;$130,97;$130,97;$130,97;34,75;34,75;76,61;JUGUETE PARA GATO;310160727126;LIBERTY EXPRESS CORPORATE VC S.A.;186200379312;ZAMBRANO VELAZCO KELVYN;P001;AERIS HOLDING COSTA RICA S.A.;13;$19,58;1;$1,31;14;$18,34;$0;0;$0,00;$0,00;$39,23;33%;30%
005-2022-001495;0007;3/1/22;SANTAMARIA;IMPORTACION DEFINITIVA;ENTREGA RAPIDA;LIBERTY EXPRESS CORPORATE VC S.A.;No disponible;No disponible;No disponible;SN;950300900090;9503;"Triciclos, patinetes, coches de pedal y juguetes similares con ruedas; coches y sillas de ruedas para muñecas o muñecos; muñecas o muñecos; los demás juguetes; modelos reducidos y Modelos similares, para entretenimiento, incluso animados; Rompecabezas de cualquier clase  ";AEREO;Estados Unidos;Estados Unidos;Estados Unidos;1;UNIDAD (C/U);1;1;$20,00;$20,00;$9,76;$0,28;$30,04;$30,04;$30,04;1,35;1,35;2,98;JUGUETE;310160727126;LIBERTY EXPRESS CORPORATE VC S.A.;186200379312;ZAMBRANO VELAZCO KELVYN;P001;AERIS HOLDING COSTA RICA S.A.;13;$4,49;1;$0,30;14;$4,21;$0;0;$0,00;$0,00;$9,00;45%;30%
005-2022-001495;0008;3/1/22;SANTAMARIA;IMPORTACION DEFINITIVA;ENTREGA RAPIDA;LIBERTY EXPRESS CORPORATE VC S.A.;No disponible;No disponible;No disponible;SN;950300900090;9503;"Triciclos, patinetes, coches de pedal y juguetes similares con ruedas; coches y sillas de ruedas para muñecas o muñecos; muñecas o muñecos; los demás juguetes; modelos reducidos y Modelos similares, para entretenimiento, incluso animados; Rompecabezas de cualquier clase  ";AEREO;Estados Unidos;Estados Unidos;Estados Unidos;1;UNIDAD (C/U);1;1;$35,00;$35,00;$9,76;$0,42;$45,18;$45,18;$45,18;0,95;0,95;2,09;COLECCIONABLE ACEPTABLE NECA JUGUETES;310160727126;LIBERTY EXPRESS CORPORATE VC S.A.;186200379312;ZAMBRANO VELAZCO KELVYN;P001;AERIS HOLDING COSTA RICA S.A.;13;$6,75;1;$0,45;14;$6,33;$0;0;$0,00;$0,00;$13,53;39%;30%
005-2022-001495;0009;3/1/22;SANTAMARIA;IMPORTACION DEFINITIVA;ENTREGA RAPIDA;LIBERTY EXPRESS CORPORATE VC S.A.;No disponible;No disponible;No disponible;SN;420292000090;4202;Artículos de bolsillo o de bolso de mano (cartera) con la superficie exterior de hojas de plástico o materia textil;AEREO;Estados Unidos;Estados Unidos;Estados Unidos;1;UNIDAD (C/U);1;1;$90,99;$90,99;$9,76;$0,94;$101,69;$101,69;$101,69;5,29;5,29;11,66;SET DE ESTUCHES DE PANDORA;310160727126;LIBERTY EXPRESS CORPORATE VC S.A.;186200379312;ZAMBRANO VELAZCO KELVYN;P001;AERIS HOLDING COSTA RICA S.A.;13;$15,20;1;$1,02;14;$14,24;$0;0;$0,00;$0,00;$30,46;33%;30%
